label,message,clean_text
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got number was v apologetic n had fallen out she was actin like spoilt child he got caught up that till number but we won t go there not doing too badly cheers you
ham,K tell me anything about you.,k tell me anything about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting all that housework you just did quick have cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks your subscription ringtone uk your mobile will be charged number month please confirm by replying yes no if you reply no you will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look timings then i msg again xuhui going learn nd may too but her lesson am
ham,"Oops, I'll let you know when my roommate's done",oops i ll let you know when my roommate s done
ham,I see the letter B on my car,i see letter b my car
ham,Anything lor... U decide...,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s you how did saturday go i was just texting see if you d decided do anything tomo not that i m trying invite myself anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts i just wanted be sure do have great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget tell you i want you i need you i crave you but most all i love you my sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,number rodger burns msg we tried call you re your reply our sms free nokia mobile free camcorder please call now number delivery tomorrow
ham,WHO ARE YOU SEEING?,who you seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am lt gt inches
ham,No calls..messages..missed calls,no calls messages missed calls
ham,Didn't you get hep b immunisation in nigeria.,didn t you get hep b immunisation nigeria
ham,"Fair enough, anything going on?",fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler can t do it i could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i am i didn t even want go hospital i kept telling mark i m not weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like lt gt half eighth smarter though gets you almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has ride early tomorrow morning but he s crashing our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing best i could you always seemed so happy about cave i m sorry i didn t don t have more give i m sorry i offered i m sorry your room was so embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats number year special cinema pass number yours call number now c suprman v matrix starwars etc all number free bx ip we pm dont miss out
ham,"Sorry, I'll call later in meeting.",sorry i ll call later meeting
ham,Tell where you reached,tell where you reached
ham,Yes..gauti and sehwag out of odi series.,yes gauti sehwag out odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have pick up number burger yourself your way home i can t even move pain killing me
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,its part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok if i come by now
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",as valued customer i am pleased advise you that following recent review your mob no you awarded number bonus prize call number
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day which song will u dedicate me send this all ur valuable frnds but first rply me
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry number claim txt dis number number number number number morefrmmob shracomorsglsuplt number ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",did you hear about new divorce barbie it comes all ken s stuff
ham,I plane to give on this month end.,i plane give this month end
ham,Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee
ham,Finished class where are you.,finished class where you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home now wanna do something xx
ham,K..k:)where are you?how did you performed?,k k where you how did you performed
ham,U can call me now...,u can call me now
ham,I am waiting machan. Call me once you free.,i am waiting machan call me once you free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i am gentleman will treat you dignity respect
ham,I like you peoples very much:) but am very shy pa.,i like you peoples very much but am very shy pa
ham,Does not operate after  &lt;#&gt;  or what,does not operate after lt gt what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,its not same here still looking job how much do ta s earn there
ham,"Sorry, I'll call later",sorry i ll call later
ham,K. Did you call me just now ah? ,k did you call me just now ah
ham,Ok i am on the way to home hi hi,ok i am way home hi hi
ham,You will be in the place of that man,you will be place that man
ham,Yup next stop.,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",i call you later don t have network if urgnt sms me
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real when u getting yo i only need number more tickets one more jacket i m done i already used all my multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started send requests make it but pain came back so i m back bed double coins factory too i gotta cash all my nitros
ham,I'm really not up to it still tonight babe,i m really not up it still tonight babe
ham,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do don t stand close tho you ll catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry be pain it ok if we meet another night i spent late afternoon casualty that means i haven t done any y stuff moro that includes all my time sheets that sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative number number number between am pm as you have won guaranteed number cash number prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later i check already lido only got number show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",your free ringtone waiting be collected simply text password mix number verify get usher britney fml po box number mk h ppw number
ham,Watching telugu movie..wat abt u?,watching telugu movie wat abt u
ham,i see. When we finish we have loads of loans to pay,i see when we finish we have loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk been ok hols now yes bit run forgot that i have hairdressers appointment four so need get home n shower beforehand does that cause prob u
ham,I see a cup of coffee animation,i see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,please don t text me anymore i have nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i m still looking car buy have not gone driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press number copy your friends callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow you re right i didn t mean do that i guess once i gave up boston men changed my search location nyc something changed cuz my signin page it still says boston
ham,Umma my life and vava umma love you lot dear,umma my life vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot your wishes my birthday thanks you making my birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",aight i ll hit you up when i get some cash
ham,How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that considering my computer isn t minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people my mom was like you better not be lying then again i am always one play jokes
ham,Dont worry. I guess he's busy.,dont worry i guess he s busy
ham,What is the plural of the noun research?,what plural noun research
ham,Going for dinner.msg you after.,going dinner msg you after
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i m ok wif it cos i like number try new things but i scared u dun like mah cos u said not too loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent we trying contact you last weekends draw shows that you won number prize guaranteed call number claim code k valid hrs only ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin weight haha so anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me number lunch after lunch she invited me her apartment we went there
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,you winner u have been specially selected number receive number number holiday flights inc speak live operator number claim p min number
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes we must speak friday egg potato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm my uncle just informed me that he s paying school directly so pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private your number account statement number shows number unredeemed bonus points claim call number identifier code number expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent your mobile no was awarded number bonus caller prize number number number this our final try contact u call from landline number box wr c ppm
ham,here is my new address -apples&pairs&all that malarky,here my new address apples pairs all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending number selected receive number award if you have match please call number quoting claim code number standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,i am going sao mu today will be done only number
ham,Ü predict wat time ü'll finish buying?,predict wat time ll finish buying
ham,"Good stuff, will do.",good stuff will do
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just so that you know yetunde hasn t sent money yet i just sent her text not bother sending so its over you dont have involve yourself anything i shouldn t have imposed anything you first place so that i apologise
ham,Are you there in room.,you there room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well me del r bak again long time no c give me call sum time from lucyxx
ham,K..k:)how much does it cost?,k k how much does it cost
ham,I'm home.,i m home
ham,"Dear, will call Tmorrow.pls accomodate.",dear will call tmorrow pls accomodate
ham,First answer my question.,first answer my question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q win top sony dvd player if u know which country algarve txt ansr number number number sp tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want number get laid tonight want real dogging locations sent direct number ur mob join uk s largest dogging network bt txting gravel number nt ec p msg p
ham,I only haf msn. It's yijue@hotmail.com,i only haf msn it s yijue hotmail com
ham,He is there. You call and meet him,he there you call meet him
ham,No no. I will check all rooms befor activities,no no i will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you ll not rcv any more msgs from chat svc free hardcore services text go number if u get nothing u must age verify yr network try again
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c i lazy type i forgot lect i saw pouch but like not v nice
ham,"K, text me when you're on the way",k text me when you re way
ham,"Sir, Waiting for your mail.",sir waiting your mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired doing little things number lovable persons coz somtimes those little things occupy d biggest part their hearts gud ni
ham,I know you are. Can you pls open the back?,i know you can you pls open back
ham,Yes see ya not on the dot,yes see ya not dot
ham,Whats the staff name who is taking class for us?,whats staff name who taking class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg why haven t you replied my text i m randy sexy female live local luv hear from u netcollex ltd p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma will call after check our life will begin from qatar so pls pray very hard
ham,K..i deleted my contact that why?,k i deleted my contact that why
ham,Sindu got job in birla soft ..,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,wine flowing i m i have nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine better cos no need number go down number plaza mah
ham,Ok... Ur typical reply...,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press number copy your friends callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you everywhere dirt floor windows even my shirt sometimes when i open my mouth you all that comes flowing out i dream my world without you then half my chores out too time joy me lots tv shows i ll see but i guess like all things you just must exist like rain hail mist when my time here done you i become one
ham,Aaooooright are you at work?,aaooooright you work
ham,I'm leaving my house now...,i m leaving my house now
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello my love what you doing did you get that interview today you you happy you being good boy do you think me you missing me
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement you have new years delivery waiting you please call number now arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you winner u have been specially selected number receive number cash number holiday flights inc speak live operator number claim number
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe me because i need you i miss you already i envy everyone that see s you real life
ham,New car and house for my parents.:)i have only new job in hand:),new car house my parents i have only new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i m so love you i m excited each day i spend you you make me so happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious number f inviting you be her friend reply yes number no number see her url stop send stop frnd number
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way u should receive service msg number download ur content if u do not goto wap bangb tv ur mobile internet service menu
ham,I place all ur points on e cultures module already.,i place all ur points e cultures module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent we trying contact you last weekends draw shows that you have won number prize guaranteed call number claim code s valid hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd which best way avoid missunderstding wit our beloved one s
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape i fancy bridge but needs her lager see you tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,yes it completely out form clark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",sir i need axis bank account no bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya can go number free abt muz call u discuss liao
ham,What time you coming down later? ,what time you coming down later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe you forgot my surname mr ill give u clue its spanish begins m
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well i m gonna finish my bath now have good fine night
ham,Let me know when you've got the money so carlos can make the call,let me know when you ve got money so carlos can make call
ham,U still going to the mall?,u still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turns out my friends staying whole show won t be back til lt gt so feel free go ahead smoke that lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,text her if she doesnt reply let me know so i can have her log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi you just spoke maneesha v we d like know if you were satisfied experience reply toll free yes no
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lifted my hopes offer money i am need especially when end month approaches it hurts my studying anyways have gr weekend
ham,Lol no. U can trust me.,lol no u can trust me
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok i am gentleman will treat you dignity respect
ham,"He will, you guys close?",he will you guys close
ham,Going on nothing great.bye,going nothing great bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome you finding that job not being lazy working towards getting back that net mummy where s my boytoy now does he miss me
ham,"Haha awesome, be there in a minute",haha awesome be there minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative freephone number number number between am pm as you have won guaranteed number cash number prize
ham,Have you got Xmas radio times. If not i will get it now,have you got xmas radio times if not i will get it now
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i jus reached home i go bathe first but my sis using net tell u when she finishes k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,you unique enough find out from th august url
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i m sorry i ve joined league people that dont keep touch you mean great deal me you have been friend all times even great personal cost do have great week
ham,Hi :)finally i completed the course:),hi finally i completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it will stop itself i however suggest she stays someone that will be able give ors every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how you doing hope you ve settled new school year just wishin you gr day
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day
ham,Did u got that persons story,did u got that persons story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,your hamster dead hey so tmr i meet you pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi its kate how your evening i hope i can see you tomorrow bit but i have bloody babyjontet txt back if u can xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",found it enc lt gt where you
ham,I sent you  &lt;#&gt;  bucks,i sent you lt gt bucks
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance rs lt decimal gt your transaction id kr lt gt
ham,Goodmorning sleeping ga.,goodmorning sleeping ga
ham,U call me alter at 11 ok.,u call me alter number ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,say until like dat i dun buy ericsson oso cannot oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me number lunch after lunch she invited me her apartment we went there
ham,"Aight yo, dats straight dogg",aight yo dats straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you please give us connection today itself before lt decimal gt refund bill
ham,Both :) i shoot big loads so get ready!,both i shoot big loads so get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",what s up bruv hope you had great break do have rewarding semester
ham,Home so we can always chat,home so we can always chat
ham,K:)k:)good:)study well.,k k good study well
ham,Yup... How ü noe leh...,yup how noe leh
ham,Sounds great! Are you home now?,sounds great you home now
ham,Finally the match heading towards draw as your prediction.,finally match heading towards draw as your prediction
ham,Tired. I haven't slept well the past few nights.,tired i haven t slept well past few nights
ham,Easy ah?sen got selected means its good..,easy ah sen got selected means its good
ham,I have to take exam with march 3,i have take exam march number
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah you should i think you can use your gt atm now register not sure but if there s anyway i can help let me know but when you do be sure you ready
ham,Ok no prob. Take ur time.,ok no prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,there os called ubandu which will run without installing hard disk you can use that os copy important files system give it repair shop
ham,"Sorry, I'll call later",sorry i ll call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh course nothing happen lar not say v romantic jus bit only lor i thk e nite scenery not so nice leh
